absorbed,survivor,survivorNow,rule,decidedBy,backfilled,surnameLast,surnameAny,nameRules,splinkPool0912,imageScan,squashed,surnameEdit1,anyNameBlock,anyBlock
Publisher: Dr Robert Thornton,Robert John Thornton,Robert John Thornton,humanPairs,human,True,True,True,,False,False,False,False,True,True
Jean-Michel Basquiat and Andy Warhol,Andy Warhol and Jean-Michel Basquiat,Andy Warhol and Jean-Michel Basquiat,humanPairs,human,True,False,True,,False,False,False,False,True,True
Bernd & Hilla Becher,Bernd and Hilla Becher,Bernd and Hilla Becher,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Norman Alfred Williams Lindsay,Norman Alfred Lindsay,Norman Lindsay,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Samuel L. Margolies,Samuel Margolies,Samuel Margolies,nameFuzzyImageCorroborated,rule,True,True,True,token_subset,True,False,False,False,True,True
Jean-François Raffaëlli,Jean François Raffaëlli,Jean François Raffaëlli,reappearedName,human,False,True,True,honorific+normalized_equal,True,False,True,False,True,True
Frank Weston Benson,Frank W. Benson,Frank W. Benson,humanPairs,human,True,True,True,initialism,True,False,False,False,True,True
Charles E. Burchfield,Charles Burchfield,Charles Burchfield,nameFuzzyImageCorroborated,rule,True,True,True,token_subset,True,False,False,False,True,True
James Mcbey,James McBey,James McBey,reappearedName,human,False,True,True,honorific+normalized_equal,True,False,True,False,True,True
\jean-émile Laboureur,Jean-Émile Laboureur,Jean Émile Laboureur,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Jean-Émile Laboureur,Jean Émile Laboureur,Jean Émile Laboureur,aliasShadowing,human,True,True,True,honorific+normalized_equal,True,False,True,False,True,True
Jean-Émile Labourer,Jean Émile Laboureur,Jean Émile Laboureur,nameTypoDatesAgree,rule,True,False,False,typo,False,False,False,True,True,True
Privat Livemont,Henri Privat-Livemont,Henri Privat-Livemont,nameFuzzyImageCorroborated,rule,True,True,True,token_subset,True,False,False,False,True,True
Sir Edward Coley Burne-Jones,Edward Coley Burne-Jones,Edward Coley Burne-Jones,kmIdentityRepair,human,True,True,True,honorific+token_subset,False,False,False,False,True,True
Elling William Gollings,"Elling William ""Bill"" Gollings","Elling William ""Bill"" Gollings",humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Yoshitomo Nara and Hiroshi Sugito,Yoshitomo Nara & Hiroshi Sugimoto,Yoshitomo Nara & Hiroshi Sugimoto,humanPairs,human,True,False,False,,False,False,False,False,False,False
Édouard Vuillard,Edouard Vuillard,Edouard Vuillard,humanPairs,human,True,True,True,honorific+normalized_equal,True,False,True,False,True,True
Emile Cardinaux,Emil Cardinaux,Emil Cardinaux,kmIdentityRepair,human,True,True,True,typo,False,False,False,False,True,True
Stanton Macdonald-wright,Stanton Macdonald-Wright,Stanton Macdonald-Wright,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Frances Hodgkins,Frances Mary Hodgkins,Frances Mary Hodgkins,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Robert Polhill Bevan,Robert Bevan,Robert Bevan,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Jean-baptiste-camille Corot,Jean-Baptiste-Camille Corot,Jean-Baptiste-Camille Corot,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Walter J. Phillips,Walter Joseph Phillips,Walter Joseph Phillips,humanPairs,human,True,True,True,initialism,True,False,False,False,True,True
Claude Gellée called Claude Lorrain,Claude Gellée called le Lorrain,Claude Gellée called le Lorrain,humanPairs,human,True,True,True,,True,False,False,False,True,True
Hendrik Goltzius,Hendrick Goltzius,Hendrick Goltzius,humanPairs,human,True,True,True,typo,False,False,False,False,True,True
Pieter Brueghel Elder,Pieter Bruegel Elder,Pieter Bruegel Elder,nameTypoDatesAgree,rule,True,True,True,typo,False,False,False,False,True,True
Bertha Boynton Lum,Bertha Lum,Bertha Lum,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Pedro Joseph de Lemos,Pedro Joseph Lemos,Pedro Joseph Lemos,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Frances Gearhart,Frances Hammell Gearhart,Frances Hammell Gearhart,nameFuzzyImageCorroborated,rule,True,True,True,token_subset,True,False,False,False,True,True
Émile-jean Sulpis,Émile-Jean Sulpis,Émile-Jean Sulpis,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
László Moholy-nagy,László Moholy-Nagy,László Moholy-Nagy,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Ker-xavier Roussel,Ker-Xavier Roussel,Ker-Xavier Roussel,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Sir Lawrence Alma-Tadema,Lawrence Alma-Tadema,Lawrence Alma-Tadema,kmIdentityRepair,human,True,True,True,honorific+token_subset,False,False,False,False,True,True
Giovanni Antonio Canaletto,Antonio Canal called Canaletto,Antonio Canal called Canaletto,reappearedName,human,False,True,True,,True,False,False,False,True,True
Antonio Canal known as Canaletto,Antonio Canal known as il Canaletto,Antonio Canal called Canaletto,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Antonio Canal known as il Canaletto,Antonio Canal called Canaletto,Antonio Canal called Canaletto,reappearedName,human,False,True,True,,True,False,False,False,True,True
Antonio Canaletto,Antonio Canal called Canaletto,Antonio Canal called Canaletto,humanPairs,human,True,True,True,,True,False,False,False,True,True
Alexandre Archipenko,Alexander Archipenko,Alexander Archipenko,humanPairs,human,True,True,True,typo,False,False,False,False,True,True
Probably Jules Pascin,Jules Pascin,Jules Pascin,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Félix Vallotton,Félix Edouard Vallotton,Félix Edouard Vallotton,nameFuzzyImageCorroborated,rule,True,True,True,token_subset,True,False,False,False,True,True
Adolf Dehn,Adolf Arthur Dehn,Adolf Arthur Dehn,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Adriaen van Ostade,Adriaen Jansz. van Ostade,Adriaen Jansz. van Ostade,nameFuzzyImageCorroborated,rule,True,True,True,token_subset,True,False,False,False,True,True
Doug and Mike Starn,Doug & Mike Starn,Doug & Mike Starn,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Hasui Kawase,Kawase Hasui,Kawase Hasui,kmIdentityRepair,human,True,False,True,,False,False,False,False,True,True
Jean-honoré Fragonard,Jean-Honoré Fragonard,Jean-Honoré Fragonard,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Honore Daumier,Honoré Daumier,Honoré Daumier,reappearedName,human,False,True,True,honorific+normalized_equal,True,False,True,False,True,True
Edmond François Aman-jean,Edmond François Aman-Jean,Edmond François Aman-Jean,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Sir Edwin Henry Landseer,Edwin Henry Landseer,Edwin Henry Landseer,kmIdentityRepair,human,True,True,True,honorific+token_subset,False,False,False,False,True,True
Paolo Caliari Veronese,Paolo Veronese,Paolo Veronese,kmIdentityRepair,human,True,True,True,token_subset,False,False,False,False,True,True
Richard W. Rummell,Richard Rummell,Richard Rummell,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Pierre Joseph Celestin Redouté,Pierre-Joseph Redouté,Pierre-Joseph Redouté,kmIdentityRepair,human,True,True,True,token_subset,False,False,False,False,True,True
Paul Gavarni,Hippolyte Guillaume Sulpice Chevalier dit Paul Gavarni,Hippolyte Guillaume Sulpice Chevalier dit Paul Gavarni,humanPairs,human,True,True,True,,True,False,False,False,True,True
Gerard Audran,Gérard Audran,Gérard Audran,nameNormalised,rule,True,True,True,honorific+normalized_equal,True,False,True,False,True,True
Max Kurzweil,Maximilian Kurzweil,Maximilian Kurzweil,humanPairs,human,True,True,True,,False,False,False,False,True,True
Jean-michel Moreau,Jean-Michel Moreau,Jean-Michel Moreau,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Giovanni Battista Tiepolo,Giovanni B. Tiepolo,Giovanni B. Tiepolo,humanPairs,human,True,True,True,initialism,True,False,False,False,True,True
Giovanni D. Tiepolo,Giovanni Domenico Tiepolo,Giovanni Domenico Tiepolo,nameFuzzyImageCorroborated,rule,True,True,True,initialism,True,False,False,False,True,True
Franz von Stuck,FRANZ VON STÜCK,FRANZ VON STÜCK,nameNormalised,rule,True,True,True,honorific+normalized_equal,True,False,True,False,True,True
Margaret Jordan Patterson,Margaret Patterson,Margaret Patterson,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Margaret J. Patterson,Margaret Patterson,Margaret Patterson,nameFuzzyImageCorroborated,rule,True,True,True,token_subset,True,False,False,False,True,True
William S. Rice,William Seltzer Rice,William Seltzer Rice,nameFuzzyImageCorroborated,rule,True,True,True,initialism,True,False,False,False,True,True
Jean-auguste-dominique Ingres,Jean-Auguste-Dominique Ingres,Jean-Auguste-Dominique Ingres,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Charles François Daubigny,Charles-François Daubigny,Charles-François Daubigny,nameNormalised,rule,True,True,True,honorific+normalized_equal,True,False,True,False,True,True
Charles-françois Daubigny,Charles-François Daubigny,Charles-François Daubigny,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Lucas Cranach Elder,Lucas Cranach,Lucas Cranach,humanPairs,human,True,False,True,,True,False,False,False,True,True
Francisco Goya,Francisco José de Goya,Francisco José de Goya,reappearedName,human,False,True,True,,True,False,False,False,True,True
Francisco de Goya,Francisco José de Goya y Lucientes,Francisco José de Goya,humanPairs,human,True,False,True,,False,False,False,False,True,True
John McCrady,John Mccrady,John Mccrady,nameNormalised,rule,True,True,True,honorific+normalized_equal,True,False,True,False,True,True
David A. Siqueiros,David Alfaro Siqueiros,David Alfaro Siqueiros,nameFuzzyImageCorroborated,rule,True,True,True,initialism,True,False,False,False,True,True
Stefano della Bella,Stefano Della Bella,Stefano Della Bella,reappearedName,human,False,True,True,honorific+normalized_equal,True,False,True,False,True,True
Henri Edmond Cross,Henri-Edmond Cross,Henri-Edmond Cross,reappearedName,human,False,True,True,honorific+normalized_equal,True,False,True,False,True,True
Vincent Van Gogh,Vincent van Gogh,Vincent van Gogh,reappearedName,human,False,True,True,honorific+normalized_equal,True,False,True,False,True,True
