status,name,survivor,survivorAtMerge,rule,decidedBy,ruleVersion,evidence,at,source,detail
event,"Giuseppe Vasi Disegno della Seconda Machina Monte Etna, acquaforte e bulino, su carta vergellata, dimensioni della lastra: 400 x 545 mm, [1767 circa]. In cornice.",Giuseppe Vasi,Giuseppe Vasi,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,"Giuseppe Vasi Disegno della prima Machina rappresentante una Deliziosa ornata di verdure, e fontane..., acquaforte e bulino su carta vergellata, dimensioni della lastra: 400 x 545 mm, 1752 circa]. In cornice.",Giuseppe Vasi,Giuseppe Vasi,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Gordon Grant,Gordon Hope Grant,Gordon Hope Grant,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Graham Sutherand,Graham Sutherland,Graham Sutherland,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9328, name relation oneTokenDiffers; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Graham SutherlandOM,Graham Sutherland,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 27.96; DINOv2 max 0.459",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Graham Vivian Sutherland,Graham Sutherland,Graham Sutherland,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Guillaume Corneille,Corneille,Corneille,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Gyula Halasz Brassai,Brassaï,Brassaï,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Hale Aspacio Woodruff,Hale Woodruff,Hale Woodruff,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Hassall,John Hassall,John Hassall,kmIdentityRepair,human,KM-DUP-MERGE-1.0,'John Hassall' is a recorded name of the KM node's manually verified ULAN 500001686; other node born 1868 = ULAN 1868,2026-09-19T102858,km_artist_repair_merge_presnapshot_2026-09-19T102858.json,
event,Hasui Kawase,Kawase Hasui,Kawase Hasui,kmIdentityRepair,human,KM-DUP-MERGE-1.0,same bag of words (rule 'same_token_bag') and a recorded name of manually verified ULAN 500333884; other node born 1883 = ULAN 1883,2026-09-19T102858,km_artist_repair_merge_presnapshot_2026-09-19T102858.json,
event,Hendrik Goltzius,Hendrick Goltzius,Hendrick Goltzius,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9543, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the larger body of work",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Henri Fantin-latour,Henri Fantin-Latour,Henri Fantin-Latour,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,Henri Toulouse Lautrec,Henri de Toulouse-Lautrec,Henri de Toulouse-Lautrec,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9464, name relation tokenSubset; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Henri Toulouse-Lautrec,Henri de Toulouse-Lautrec,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 31.08; DINOv2 max 0.940",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Howard Norton Cook,Howard Cook,Howard Cook,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Humphrey Spender,John Humphrey Spender,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 20.56; DINOv2 max 0.923",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Irwin D. Hoffman,Irwin David Hoffman,Irwin David Hoffman,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,J J J Tissot,James Jacques Joseph Tissot,James Jacques Joseph Tissot,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9423, name relation tokenSubset; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,"Jacques Callot Vue du Louvre, da: Les Deux Grandes Vues de Paris, acquaforte, su carta vergata priva di filigrana. Dimensioni della lastra: 168 x 342 mm con sottile margine di 1-2 mm, [circa 1630].",Jacques Callot,Jacques Callot,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Jacques Villon Pablo Picasso,Jacques Villon,Jacques Villon,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,James A McNeil Whistler,James Abbott McNeill Whistler,James Abbott McNeill Whistler,humanPairs,human,ARTIST-MERGE-3.x pairs,"same person, initial-and-misspelling form; holds four Billingsgate/Fulham etchings. Survivor renamed to the full form, which 209 of the 257 works already used and which the ULAN node itself lists in alternateNames",2026-09-13T05:57:11.728257+00:00,artist_pairs_presnapshot_2026-09-13T055711.json,
event,James Abbott McNeil Whistler,James Abbott McNeill Whistler,James McNeill Whistler PRBA HRSA RSW,humanPairs,human,ARTIST-MERGE-3.x pairs,"same person, 'McNeil' misspelt; titles are unmistakable Whistler etchings (La Vieille aux Loques, The Menpes Children, Swan and Iris); no ULAN so no ULAN pass could link it",2026-09-13T05:57:11.728257+00:00,artist_pairs_presnapshot_2026-09-13T055711.json,
event,James Jacques Tissot,James Jacques Joseph Tissot,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 31.08; DINOv2 max 0.938",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,James McNeill Whistler PRBA HRSA RSW,James Abbott McNeill Whistler,James McNeill Whistler PRBA HRSA RSW,humanPairs,human,ARTIST-MERGE-3.x pairs,"one person held as four nodes; b.1834 d.1903 American on both; canon carries ULAN 500012432 and Wikidata Q203643, dup carries none. Found by DINOv2 cross-attribution scan: the same Billingsgate etching under three artist names at cosine 0.93-0.97",2026-09-13T05:57:11.728257+00:00,artist_pairs_presnapshot_2026-09-13T055711.json,
event,Jean Arp,Jean (Hans) Arp,,nameNormalised,rule,ARTIST-MERGE-3.x band-b,"splink band B, B1 exact under normalisation; name level exact_norm; match weight 24.25; DINOv2 max 0.622",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Jean Bazaine,Jean René Bazaine,Jean Rene Bazaine,survivorRenamed,rule,ARTIST-MERGE-3.x ulan-canon,same ULAN id 500031929 held under two URL forms,2026-09-12T07:51:49.958359+00:00,ulan_canon_presnapshot_2026-09-12.json,
event,Jean Rene Bazaine,Jean René Bazaine,Jean Rene Bazaine,ulanCanonical,rule,ARTIST-MERGE-3.x ulan-canon,same ULAN id 500031929 held under two URL forms,2026-09-12T07:51:49.958359+00:00,ulan_canon_presnapshot_2026-09-12.json,
event,Jean-Michel Basquiat and Andy Warhol,Andy Warhol and Jean-Michel Basquiat,Andy Warhol and Jean-Michel Basquiat,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 2 near-duplicate image pair(s), max cosine 0.9802, name relation sameTokens; birth year absent on one side; survivor holds the larger body of work",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Jean-auguste-dominique Ingres,Jean-Auguste-Dominique Ingres,Jean-Auguste-Dominique Ingres,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,Jean-baptiste-camille Corot,Jean-Baptiste-Camille Corot,Jean-Baptiste-Camille Corot,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,Jean-françois Millet,Jean-François Millet,Jean-François Millet,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,Jean-honoré Fragonard,Jean-Honoré Fragonard,Jean-Honoré Fragonard,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,Jean-michel Moreau,Jean-Michel Moreau,Jean-Michel Moreau,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,Jean-Émile Labourer,Jean Émile Laboureur,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 23.54; DINOv2 max 0.425",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Jean-Émile Laboureur,Jean Émile Laboureur,Jean Émile Laboureur,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Jean-émile Laboureur,Jean Émile Laboureur,Jean-Émile Laboureur,survivorRenamed,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:19:36.724268+00:00,artist_pairs_presnapshot_2026-09-15T211936.json,
event,Joan Miro,Joan Miró,Joan Miró,humanPairs,human,ARTIST-MERGE-3.x pairs,fold,2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Joan Mirò,Joan Miró,Joan Miró,humanPairs,human,ARTIST-MERGE-3.x pairs,fold,2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,John Baldesarri,John Baldessari,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 27.96; DINOv2 max 0.264",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,John Byrne,John Patrick Byrne,John Patrick Byrne,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,John McCrady,John Mccrady,,nameNormalised,rule,ARTIST-MERGE-3.x band-b,"splink band B, B1 exact under normalisation; name level exact_norm; match weight 31.74",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,John N. Nash,John Northcote Nash,John Northcote Nash,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,John Nash,John Northcote Nash,John Northcote Nash,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,John Sloan Santa Fe Family etching;,John Sloan,John Sloan,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: a work title leaked into the artist field",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,John Sperling,Josh Sperling,Josh Sperling,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: John is a typo for Josh; both born 1984",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,John Wilson,John Woodrow Wilson,John Woodrow Wilson,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Johnny Friedlander,Johnny Friedlaender,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 27.96; DINOv2 max 0.716",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Jolan Gross-Bettelheim,Jolan Gross Bettelheim,,nameNormalised,rule,ARTIST-MERGE-3.x band-b,"splink band B, B1 exact under normalisation; name level exact_norm; match weight 31.74",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Joseph Herman,Josef Herman,Josef Herman,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: Joseph is the anglicisation; ULAN on the survivor",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,Julian Otto Trevelyan,Julian Trevelyan,Julian Trevelyan,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Julian Treveyan,Julian Trevelyan,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 27.96; DINOv2 max 0.468",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,June Calypso,Juno Calypso,Juno Calypso,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: Juno is the artist's name; both born 1989",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,June Claire Wayne,June Wayne,June Wayne,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Karl Schmidt-rottluff,Karl Schmidt-Rottluff,Karl Schmidt-Rottluff,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,Kasimir Sevenovitch Malevich,Kasimir Malevich,Kasimir Malevich,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Kasimir Severinovich Malevich,Kasimir Malevich,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 26.35; DINOv2 max 0.177",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Kasimir Sevrinovitch Malevich,Kasimir Malevich,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 26.35; DINOv2 max 0.177",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Kathe Kollwitz,Käthe Kollwitz,,nameNormalised,rule,ARTIST-MERGE-3.x band-b,"splink band B, B1 exact under normalisation; name level exact_norm; match weight 31.74; DINOv2 max 0.695",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Keith Haring (American,Keith Haring,Keith Haring,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: a truncated bracket, not a name",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,Keith Joseph Michell,Keith Michell,Keith Michell,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Keith Vaughan,John Keith Vaughan,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 20.56; DINOv2 max 0.948",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Kenojuak Ashevak CC,Kenojuak Ashevak,Kenojuak Ashevak,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Ker-xavier Roussel,Ker-Xavier Roussel,Ker-Xavier Roussel,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,L.S. Lowry,Laurence Stephen Lowry,Laurence Stephen Lowry,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 26 near-duplicate image pair(s), max cosine 0.9781, name relation tokenSubset; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Laura Sylvia Gosse RBA RE,Sylvia Gosse,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 20.56; DINOv2 max 1.000",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Lawrence Kupferman,Lawrence Edward Kupferman,Lawrence Edward Kupferman,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Le Corbusier,Le Corbusier (Charles-Edouard Jeanneret),Le Corbusier (Charles-Edouard Jeanneret),humanPairs,human,ARTIST-MERGE-3.x pairs,fold,2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Leonard Tsuguharu Foujita,Léonard Tsuguharu Foujita,,nameNormalised,rule,ARTIST-MERGE-3.x band-b,"splink band B, B1 exact under normalisation; name level exact_norm; match weight 31.74; DINOv2 max 0.658",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Louis Auguste Mathieu Legrand,Louis Legrand,Louis Legrand,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Lucas Cranach Elder,Lucas Cranach,Lucas Cranach,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Lucien Freud,Lucian Freud,Lucian Freud,ulanCanonical,rule,ARTIST-MERGE-3.x ulan-canon,same ULAN id 500116243 held under two URL forms,2026-09-12T07:51:49.958359+00:00,ulan_canon_presnapshot_2026-09-12.json,
event,Lynne Chadwick,Lynn Chadwick,Lynn Chadwick,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 2 near-duplicate image pair(s), max cosine 0.9501, name relation oneTokenDiffers; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,László Moholy-nagy,László Moholy-Nagy,László Moholy-Nagy,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,M.C. Escher,Maurits Cornelis Escher,Maurits Cornelis Escher,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 2 near-duplicate image pair(s), max cosine 0.953, name relation tokenSubset; birth year agrees on both sides; survivor holds the larger body of work",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Marc Chagall . Charles Sorlier,Marc Chagall,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 31.08; DINOv2 max 0.913",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Marc Chaimowicz,Marc Camille Chaimowicz,Marc Camille Chaimowicz,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Margaret J. Patterson,Margaret Patterson,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 31.08; DINOv2 max 0.928",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Margaret Jordan Patterson,Margaret Patterson,Margaret Patterson,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Maria Helena Viera da Silva,Maria Helena Vieira da Silva,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 26.35; DINOv2 max 0.531",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Maurits C. Escher,Maurits Cornelis Escher,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level jw088; match weight 26.45; DINOv2 max 0.935",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Maurits Escher,Maurits Cornelis Escher,Maurits Cornelis Escher,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: short form; both 1898-1972",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,Max Beckman,Max Beckmann,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 27.96",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Max Kurzweil,Maximilian Kurzweil,Maximilian Kurzweil,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9495, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,MayaHayuk,Maya Hayuk,Maya Hayuk,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9448, name relation spellingNearMiss; birth year agrees on both sides; survivor holds the larger body of work",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Mihail Mikhailovich Chemiakin,Mihail Chemiakin,Mihail Chemiakin,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Mortimer L. Menpes,Mortimer Luddington Menpes,Mortimer L. Menpes,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Mortimer Luddington Menpes RE RBA ROI RI,Mortimer Luddington Menpes,Mortimer Luddington Menpes RE RBA ROI RI,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Mortimer Menpes,Mortimer Luddington Menpes,Mortimer L. Menpes,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Muirhead Bone HRWS HARIBA HRE LLB D Litt,Muirhead Bone,Muirhead Bone,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: post-nominals; 1867 on the junk side is a transposition of Bone's 1876",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,Nicholas Party,Nicolas Party,Nicolas Party,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 2 near-duplicate image pair(s), max cosine 0.9735, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Norbertine Bresslern-Roth,Norbertine von Bresslern-Roth,Norbertine von Bresslern-Roth,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Norman Alfred Lindsay,Norman Lindsay,Norman Alfred Lindsay,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Norman Alfred Williams Lindsay,Norman Lindsay,Norman Alfred Lindsay,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Otto Henry Bacher,Otto Bacher,Otto Bacher,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Otto Wols,Wols,Wols,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Paolo Caliari Veronese,Paolo Veronese,Paolo Veronese,kmIdentityRepair,human,KM-DUP-MERGE-1.0,'Paolo Veronese' is a recorded name of manually verified ULAN 500021218,2026-09-19T102858,km_artist_repair_merge_presnapshot_2026-09-19T102858.json,
