artist,ulanUrl,isPrintmaker,born,died
Toulouse Lautrec,http://vocab.getty.edu/page/ulan/500029114,True,1894,1901
Ulysse Butin,http://vocab.getty.edu/page/ulan/500028817,True,1837,1883
Umberto Boccioni,http://vocab.getty.edu/page/ulan/500012624,True,1882,1916
Victor Prouvé,http://vocab.getty.edu/page/ulan/500020440,True,1858,1943
Victor-Jean Adam,http://vocab.getty.edu/page/ulan/500006886,True,1801,1866
Victorien Sardou,http://vocab.getty.edu/page/ulan/500397686,False,1831,1908
Walter Conz,http://vocab.getty.edu/page/ulan/500132068,False,1872,1947
Walter Zeising,http://vocab.getty.edu/page/ulan/500183092,False,1876,1933
Wilhelm Laage,http://vocab.getty.edu/page/ulan/500103172,True,1868,1930
Wilhelm Leibl,http://vocab.getty.edu/page/ulan/500016534,True,1844,1900
William Lambrecht,http://vocab.getty.edu/page/ulan/500151617,False,1876,1940
William Unger,http://vocab.getty.edu/page/ulan/500047449,True,1837,1932
Willy Jaeckel,http://vocab.getty.edu/page/ulan/500028573,True,1888,1944
Wladyslaw Strzeminski,http://vocab.getty.edu/page/ulan/500021885,True,1893,1952
Wolfgang Molnar,http://vocab.getty.edu/page/ulan/500109681,True,1897,1945
Wynand Otto Jan Nieuwenkamp,http://vocab.getty.edu/page/ulan/500766749,True,1874,1950
Xavier De Dananche,http://vocab.getty.edu/page/ulan/500524690,True,1828,1885
Édouard Manet,http://vocab.getty.edu/page/ulan/500010363,True,1832,1883
