route,artistA,artistB,sharedImages,maxCos,medianCos,worksA,worksB,nameRelation,familyNameRisk,ulanA,ulanB,bornA,bornB,diedA,diedB,datesAgree,exampleTitleA,exampleTitleB,exampleWorkA,exampleWorkB
differentNames,Peter Phillips,T.OB to deliver.,1,0.9333,0.9333,53,1,unrelated,0,http://vocab.getty.edu/ulan/500001509,,1939,,,,0,Safari (Bronze),Safari Bronze,forum-53017,roseberys-a0378-lot139
differentNames,Ryan Callanan (RYCA),Steve Pyke,1,0.9331,0.9331,7,1,unrelated,0,,,1981,1957,,,0,Punk,Extremitas,forum-85118,roseberys-a0724-lot352
differentNames,Charles Turner,Connor Brothers,1,0.9329,0.9329,2,424,unrelated,0,,,,1968,,,0,Call on God,A Shipwreck,forum-146974,tate-P79356
differentNames,Antonio Canal known as Canaletto,Il Canale,1,0.93,0.93,1,1,unrelated,0,,,1697,,1768,,0,View of a town on a river bank,View of a Town from a Riverbank,bonhams-cw-Il_Canale-Bromberg-9-view_of_a_town_on_a_river_bank,bonhams-cw-Antonio_Canal_known_as_Canaletto-Bromberg-9-view_of_a_town_from_a_riverbank
collaboration,Christo,Christo and Jeanne-Claude,28,0.9997,0.9598,63,173,tokenSubset,0,http://vocab.getty.edu/ulan/500115266,http://vocab.getty.edu/ulan/500386392,1935,1935,2020,2020,1,Wrapped Walk Ways (Project for St. Stephen's Green Park in Dublin),Wrapped Walk Ways (Project for St. Stephen's Green Park in Dublin),bonhams-cw-Christo-S.-111-wrapped_walk_ways_project_for_st_stephen_s_green_park_in_dublin,bonhams-cw-Christo_&_Jeanne-Claude-S.-111-wrapped_walk_ways_project_for_st_stephen_s_green_park_in_dublin
collaboration,Andy Warhol,Andy Warhol & Keith Haring,7,0.9613,0.9525,1132,2,tokenSubset,1,http://vocab.getty.edu/ulan/500006031,,1928,1958,1987,1990,0,20th Montreux Jazz Festival,20th Montreux Jazz Festival (Marechal 47),bonhams-27494-121,forum-cw-Andy_Warhol_&_Keith_Haring-Marechal-47
collaboration,Christopher Wool,Christopher Wool and Felix Gonzalez-Torres,7,0.9562,0.937,49,3,tokenSubset,1,http://vocab.getty.edu/ulan/500118710,,1955,1955,,1996,1,The show is over,The show is over,forum-63574,roseberys-a0785-lot457
collaboration,Rembrandt van Rijn,Rembrandt van Rijn & Philip Gilbert Hamerton,5,0.943,0.9341,507,1,tokenSubset,1,http://vocab.getty.edu/ulan/500011051,,1606,1606,1669,1669,1,Three Oriental Figures (Jacob and Laban?),Etching & Etchers,bonhams-cw-Rembrandt_Harmensz_van_Rijn-B._Holl.-118-three_oriental_figures_jacob_and_laban,forum-82688
collaboration,Howard Hodgkin,Howard Hodgkin (British 1932-2017) & Dame Rachel Whiteread,3,0.9401,0.9371,273,1,tokenSubset,1,http://vocab.getty.edu/ulan/500027570,,1932,,2017,,0,Swimming (Not in Heenk),"Swimming (Olympic Games Poster), 2011; London",forum-63608,roseberys-a0587-lot256
collaboration,Josh Smith,Josh Smith & Massif Central,1,0.9997,0.9997,2,1,tokenSubset,1,http://vocab.getty.edu/ulan/500333763,,1976,1976,,,1,Palm Tree,Palm Tree,forum-112963,forum-137956
collaboration,Mr Doodle X Shem,Mr Doodle and Shem,1,0.9987,0.9987,1,1,tokenSubset,1,,,1994,1984,,,0,Rock Paper Wizard,Rock Paper Wizards,forum-113019,forum-169641
collaboration,J.R and Wombat,JR,1,0.9813,0.9813,1,25,unrelated,0,,http://vocab.getty.edu/ulan/500404197,,1983,,,0,"28 Millimètres, Portrait d'une génération, Les Bosquets, Jeté cambré, Montfermeil, France, 2014","Artbox 37, dedicated to JR",roseberys-a0494-lot367,roseberys-a0592-lot585
collaboration,Eric Ravilious,Eric Ravilious and J M Richards,1,0.9628,0.9628,24,1,tokenSubset,1,http://vocab.getty.edu/ulan/500014911,,1903,,1942,,0,High Street,"Cheesemonger (from J. M. Richards, High Street, London: Country Life, 1938)",bonhams-11965-376,roseberys-a0592-lot98
collaboration,Claude Monet,Claude Monet . & George-William Thornley,1,0.9535,0.9535,5,4,tokenSubset,1,,,1840,1875,1926,1935,0,"Bateaux de Pêche, Etretat, from L'Album de 20 Lithographies d'apres les tableaux de Claude Monet , c.","Bateaux de Pêche, Étretat, from Vingt Lithographies",bonhams-25275-44,forum-96402
collaboration,Andy Warhol & Keith Haring,Keith Haring,1,0.9496,0.9496,2,320,tokenSubset,1,,http://vocab.getty.edu/ulan/500024253,1958,1958,1990,1990,1,Montreux Jazz Festival Poster,Montreux Jazz Festival,roseberys-a0571-lot165,roseberys-a0592-lot156
collaboration,Philip Gilbert Hamerton,Rembrandt van Rijn & Philip Gilbert Hamerton,1,0.9438,0.9438,2,1,tokenSubset,1,,,,1606,,1669,0,Etching and Etchers,Etching & Etchers,bonhams-15671-43,forum-82688
collaboration,Alexander Calder,Alexander Calder & Carlos Franqui,1,0.9423,0.9423,418,1,tokenSubset,1,http://vocab.getty.edu/ulan/500007824,,1898,1921,1976,2010,0,Lo Obscuro Invade,Lo Oscuro Invade,bonhams-25640-26,forum-159641
collaboration,Connor Brothers & Noel Gallagher,Connor Brothers (British b. 1968-) &,1,0.9391,0.9391,5,1,tokenSubset,0,,,1968,,,,0,These Are Crazy Days,These Are Crazy Says But They Make Me Shine,bonhams-27493-202,roseberys-a0702-lot217
collaboration,STIK and Thierry Noir,Thierry Noir (French b.1958-) &,1,0.9336,0.9336,1,1,tokenSubset,1,,,1958,,,,0,Wall,Imperial War Museum London Poster,roseberys-a0710-lot385,forum-132372
afterAttribution,George Stubbs,George Townly Stubbs after George Stubbs,5,0.9616,0.9575,21,6,tokenSubset,1,http://vocab.getty.edu/ulan/500032263,,1724,,1806,,0,Protector,Anvil,bonhams-cw-George_Townly_Stubbs_after_George_Stubbs-Lennox_Boyd-102-protector,bonhams-cw-George_Townly_Stubbs-Lennox-Boyd-115-anvil
afterAttribution,Henri Duchampes after Pablo Picasso,Pablo Picasso,2,0.9555,0.9472,1,3055,tokenSubset,1,,http://vocab.getty.edu/ulan/500009666,,1881,,1973,0,Composition,Le Clown et l'Harlequin (Czwiklitzer p.437),bonhams-11438-210,forum-167688
afterAttribution,Charles Turner after Sir Joshua Reynolds,Joshua Reynolds After,1,0.9789,0.9789,1,5,tokenSubset,1,,,,,,,0,The Marlborough Family,The Marlborough Family,bonhams-13953-67,bonhams-20739-14
afterAttribution,John Dixon,John Dixon after George Stubbs,1,0.9593,0.9593,1,1,tokenSubset,1,,,,,,,0,A Tigress,A Tigress,bonhams-cw-John_Dixon_after_George_Stubbs-Lennox_Boyd-33-a_tigress,bonhams-32598-152
afterAttribution,Jacques Villon after Vlaminck,Maurice de Vlaminck,1,0.9502,0.9502,1,67,partialOverlap,1,,http://vocab.getty.edu/ulan/500008582,,1876,,1958,0,Village d'Herouville,Le Village d'Hérouville,bonhams-14453-388,bonhams-cw-Maurice_de_Vlaminck-Walterskirchen-A.2-le_village_d_h_rouville
afterAttribution,Augustus Pugin after Thomas Rowlandson,Thomas Rowlandson and Auguste Pugin,1,0.9452,0.9452,1,1,partialOverlap,1,,,,,,,0,Christie's Auction Room,Christie's Auction Room,bonhams-11229-66,bonhams-11438-85
afterAttribution,Francis Holl after William Powell Frith,William Powell Frith,1,0.9447,0.9447,1,4,tokenSubset,1,,,,,,,0,The Railway Station,The Railway Station,bonhams-11050-43,bonhams-15176-32
afterAttribution,Jacques Villon,Jacques Villon after Maximilien Luce,1,0.9339,0.9339,143,1,tokenSubset,1,http://vocab.getty.edu/ulan/500003616,,1875,,1963,,0,Londres,Londres,bonhams-cw-Jacques_Villon_after_Maximilien_Luce-G./P.-663-londres,bonhams-cw-Jacques_Villon-Ginestet_&_Pouillon-663-londres
collective,Henri Matisse,Various Artists,5,0.968,0.9561,414,75,unrelated,0,http://vocab.getty.edu/ulan/500017300,,1869,,1954,,0,XXe siècle No.13,Teeny (Duthuit 723),forum-154260,forum-165820
collective,Rembrandt van Rijn,Rembrandt van Rijn and others.,3,0.9569,0.9493,507,1,tokenSubset,1,http://vocab.getty.edu/ulan/500011051,,1606,1606,1669,1669,1,"Christ Crucified, an oval plate",A Collection of Etchings... [201 works included],bonhams-cw-Rembrandt_Harmensz_van_Rijn-Bartsch-79-christ_crucified_an_oval_plate,forum-82721
collective,Andy Warhol,Various Artists,2,0.9818,0.9739,1132,75,unrelated,0,http://vocab.getty.edu/ulan/500006031,,1928,,1987,,0,"One Cent Life, 1964","Marilyn Monroe I Love Your Kiss Forever Forever, from the One Cent Life portfolio (Feldman and Schellmann II.5)",forum-131018,forum-cw-Andy_Warhol-Feldman_and_Schellmann-II.5
collective,Helen Chadwick,Various Artists,2,0.9755,0.9606,10,75,unrelated,0,,,1953,,1996,,0,"The Royal College of Art Printmaking Portfolio 1991, 1992, 1994 and 1997",Like A Virgin,forum-151023,forum-128744
collective,Terry Frost,Various Artists,2,0.9613,0.9602,411,75,unrelated,0,http://vocab.getty.edu/ulan/500115620,,1915,,2003,,0,"Oh, What an Effort it is to Love You as I Do (Garcia Lorca), from 'Artist's Choice'",Artist's Choice Portfolio,bonhams-cw-Terry_Frost_R.A-Kemp-91-oh_what_an_effort_it_is_to_love_you_as_i_do_garcia_lorca_from_artist_s_choice,roseberys-a0445-lot106
collective,Man Ray,Various Artists,2,0.9612,0.9476,144,75,unrelated,0,http://vocab.getty.edu/ulan/500015030,,1890,,1976,,0,Variations sur L'Imaginaire,"Dos de Femme (Anselmino Vol 1, 52)",forum-63571,roseberys-a0785-lot4
collective,Banksy,Various Artists,2,0.9553,0.9452,428,75,unrelated,0,http://vocab.getty.edu/ulan/500126137,,1974,,,,0,Pax Brittanica: A Hellish Peace,Wrong War,forum-33415,forum-63754
collective,R.I.O.T (Reclamation in our time),Stik (British b.1979-) & Various Artists,1,0.9873,0.9873,1,1,unknown,0,,,,,,,0,"R.I.O.T, Reclamation in Our Time exhibition poster",British 21st Century,roseberys-a0650-lot353,roseberys-a0702-lot231
collective,R.I.O.T (Reclamation in our time),Various Artists,1,0.9842,0.9842,1,75,unknown,0,,,,,,,0,R.I.O.T.: Saatchi Gallery,British 21st Century,forum-137512,roseberys-a0702-lot231
collective,Stik (British b.1979-) & Various Artists,Various Artists,1,0.9793,0.9793,1,75,tokenSubset,1,,,,,,,0,R.I.O.T.: Saatchi Gallery,"R.I.O.T, Reclamation in Our Time exhibition poster",forum-137512,roseberys-a0650-lot353
collective,Stik,Stik (British b.1979-) & Various Artists,1,0.9744,0.9744,55,1,tokenSubset,0,,,1979,,,,0,"R.I.O.T, Reclamation in Our Time exhibition poster","R.I.O.T, Reclamation in our time",roseberys-a0650-lot353,roseberys-a0673-lot631
collective,Stik,Various Artists,1,0.973,0.973,55,75,unrelated,0,,,1979,,,,0,R.I.O.T.: Saatchi Gallery,"R.I.O.T, Reclamation in our time",forum-137512,roseberys-a0673-lot631
collective,Paula Rego,Various Artists,1,0.9666,0.9666,222,75,unrelated,0,http://vocab.getty.edu/ulan/500110093,,1935,,2022,,0,Nine London Birds,The Crow,forum-134637,bonhams-cw-Paula_Rego_R.A-Rosenthal-107-the_crow
collective,Pablo Picasso,Various Artists,1,0.9448,0.9448,3055,75,unrelated,0,http://vocab.getty.edu/ulan/500009666,,1881,,1973,,0,La Petite Corrida,XXe siècle No.10,bonhams-cw-Pablo_Picasso-Mourlot-302-la_petite_corrida,forum-156430
collective,Catherine Yass,Various Artists,1,0.9424,0.9424,3,75,unrelated,0,http://vocab.getty.edu/ulan/500196629,,1963,,,,0,"Tate Modern: Ten Artists, Ten Images, 1995–2000",Bankside: Cherrypicker,roseberys-a0710-lot278,roseberys-a0793-lot208
collective,Julian Trevelyan,Various Artists,1,0.9374,0.9374,245,75,unrelated,0,http://vocab.getty.edu/ulan/500016557,,1910,,1988,,0,Harbour,The School Prints,bonhams-11438-388,roseberys-a0445-lot14
nonArtistNode,Laurence Stephen Lowry,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,56,0.9886,0.9629,478,15,partialOverlap,1,http://vocab.getty.edu/ulan/500022208,,1887,,1976,,0,His Family,His Family,roseberys-a0503-lot75,roseberys-a0680-lot17
nonArtistNode,AMENDMENT: This poster is on 250 gsm silk finish paper. Tracey Emin,Tracey Emin,6,0.9912,0.9393,1,402,tokenSubset,1,,http://vocab.getty.edu/ulan/500057399,1963,1963,,,1,My Favourite Little Bird,My Favourite Little Bird,roseberys-a0529-lot285,roseberys-a0642-lot409
nonArtistNode,AMENDMENT: Please note this is a Hors Commerce,David Hockney,6,0.9852,0.9758,1,1207,unrelated,0,,http://vocab.getty.edu/ulan/500017273,1937,1937,,2026,1,Portrait of Felix Mann,"Portrait of Felix Mann, [S.A.C. 113]",bonhams-cw-David_Hockney-SAC-113-portrait_of_felix_mann,roseberys-cw-AMENDMENT:_Please_note_this_is_a_Hors_Commerce-S.A.C.-113-portrait_of_felix_mann_s_a_c_113
nonArtistNode,Banksy,Property of an Urban Art Collector,5,0.9741,0.9496,428,19,unrelated,0,http://vocab.getty.edu/ulan/500126137,,1974,1970,,,0,Tesco Tomato Soup,Tesco Tomato Soup,roseberys-a0702-lot418,roseberys-a0529-lot410
nonArtistNode,Damien Hirst,Moved to 164199-4 - Damien Hirst,4,0.9997,0.9726,733,1,tokenSubset,1,http://vocab.getty.edu/ulan/500057379,,1965,1965,,,1,H10-4 Suiko,H10-4 Suiko,roseberys-a0592-lot477,roseberys-a0612-lot456
nonArtistNode,AMENDMENT: Please note edition number is 2411/3041,Damien Hirst,4,0.9997,0.9622,1,733,unrelated,0,,http://vocab.getty.edu/ulan/500057379,,1965,,,0,H10-2 Nur Jahan,H10-2 Nur Jahan,roseberys-a0583-lot434,roseberys-a0612-lot455
nonArtistNode,Jonas Wood,RTO Jonas Wood,4,0.9718,0.9717,126,1,tokenSubset,1,http://vocab.getty.edu/ulan/500371800,,1977,1977,,,1,Large Shelf Still Life,Large Shelf Still Life,roseberys-a0356-lot253,roseberys-a0414-lot65
nonArtistNode,David Hockney,RTO David Hockney,2,0.9996,0.9659,1207,1,tokenSubset,1,http://vocab.getty.edu/ulan/500017273,,1937,1937,2026,,1,"A Picture of Ourselves from 'The Blue Guitar' portfolio, 1976-7","A Picture of Ourselves from 'The Blue Guitar' portfolio, 1976-7",roseberys-a0743-lot113,roseberys-a0743-lot113
nonArtistNode,Damien Hirst,RTO Damien Hirst,2,0.9975,0.9681,733,1,tokenSubset,1,http://vocab.getty.edu/ulan/500057379,,1965,1965,,,1,H9-4 Politeness from the Virtues,"H9-4. Politeness, from The Virtues",roseberys-a0724-lot379,roseberys-a0766-lot174
nonArtistNode,Ben Eine,Property of an Urban Art Collector,2,0.9597,0.9531,43,19,unrelated,0,,,1970,1970,,,1,We Hate Eine (Black & Red),We Hate Eine (Black & Pink),forum-129060,roseberys-a0529-lot425
nonArtistNode,Frank Bowling,MOVED TO RECEIPT LINE 161105-1 - Sir Frank Bowling,2,0.9464,0.9463,8,1,tokenSubset,1,http://vocab.getty.edu/ulan/500012364,,1934,1934,,,1,Towards Crab Island,Towards Crab Island,forum-89916,roseberys-a0550-lot172
nonArtistNode,KAWS,Property of a KAWS collector,2,0.9325,0.9314,114,13,tokenSubset,0,,,1974,,,,0,Clean Slate (brown),Clean Slate (brown),roseberys-a0710-lot403,roseberys-a0710-lot403
nonArtistNode,AMENDMENT: Please note this book is a first edition,Andy Warhol,1,0.9996,0.9996,1,1132,unrelated,0,,http://vocab.getty.edu/ulan/500006031,,1928,,1987,0,The Philosophy of Andy Warhol (from A to B and back again) by Andy Warhol,The Philosophy of Andy Warhol (from A to B and back again) by Andy Warhol,roseberys-a0592-lot152,roseberys-a0612-lot335
nonArtistNode,AMENDMENT: Please note that VAT will be charged on hammer price for this lot.,Margaret Bourke-White,1,0.9994,0.9994,3,48,unrelated,0,,http://vocab.getty.edu/ulan/500023145,,1904,,1971,0,Niagara Falls power: Hydro-generators,Niagara Falls power: Hydro-generators,roseberys-a0777-lot272,roseberys-a0766-lot252
nonArtistNode,AMENDMENT: Please note this print is unframed.,Joan Miró,1,0.9733,0.9733,1,1311,unrelated,0,,http://vocab.getty.edu/ulan/500014094,,1893,,1983,0,Saturnale d' Insectes [Dupin 746],Saturnalian Insects [Dupin 746],roseberys-cw-AMENDMENT:_Please_note_this_print_is_unframed.-Dupin-746-saturnale_d_insectes_dupin_746,roseberys-cw-Joan_Miró-Dupin-746-saturnalian_insects_dupin_746
nonArtistNode,Alfred Eisenstaedt,Property from Estate of Alfred Eisenstaedt,1,0.971,0.971,34,7,tokenSubset,1,http://vocab.getty.edu/ulan/500059996,,1898,,1995,,0,"Swan Lake Rehearsal, Opera de Paris",Corps de Ballet rehearses Swan Lake at the Opera de Paris,bonhams-21017-65,roseberys-a0529-lot178
nonArtistNode,AMENDMENT : Please note this lot should read Marc Chagall and not as stated,Marc Chagall,1,0.9607,0.9607,1,1337,tokenSubset,0,,http://vocab.getty.edu/ulan/500115354,,1887,,1985,0,"The Tribe of Levi, from Twelve Maquettes of Stained Glass Windows for Jerusalem",Les Vitraux de Jerusalem - Levi 1962,bonhams-cw-Marc_Chagall-M._CS.-14-the_tribe_of_levi_from_twelve_maquettes_of_stained_glass_windows_for_jerusalem,roseberys-a0571-lot19
nonArtistNode,L.S. Lowry,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,1,0.9585,0.9585,20,15,tokenSubset,0,,,1887,,1976,,0,The Cart,The Cart,roseberys-a0494-lot112,forum-163898
nonArtistNode,AMENDMENT please note that an estimate change has taken place on this Lot from £180-220 to £200-300,Pure Evil (Charles Uzzell Edwards),1,0.9575,0.9575,1,44,unrelated,0,,,,1968,,,0,Marilyn Classic and Arthur Miller's Nightmare Pink,Arthur Miller's Nightmare (Pink),roseberys-a0550-lot724,roseberys-a0592-lot589
nonArtistNode,PROPERTY FROM COLLECTION OF LATE CLODAGH WADDINGTON,Peter Blake,1,0.9524,0.9524,9,448,unrelated,0,,http://vocab.getty.edu/ulan/500021263,,1932,,,0,A Souvenir of the Peter Blake Retrospective,A Souvenir of the Peter Blake Retrospective,roseberys-a0494-lot256,roseberys-a0503-lot179
nonArtistNode,Prefab77,Property of an Urban Art Collector,1,0.9467,0.9467,4,19,unrelated,0,,,,1970,,,0,"Crown, Crown & Country - 2nd Edition - Jubilee",Crown & Country,forum-53126,roseberys-a0529-lot412
nonArtistNode,Alan Davie,Amendment: Please note this lot is not framed. Alan Davie,1,0.9402,0.9402,69,1,tokenSubset,1,http://vocab.getty.edu/ulan/500028636,,1920,1920,2014,2014,1,"I, from Zurich Improvisations",IV (Zurich Improvisations),forum-163132,roseberys-a0494-lot146
nonArtistNode,AMENDMENT: please note image size is 37.3 x 84cm. Ivon Hitchens,Ivon Hitchens,1,0.94,0.94,1,8,tokenSubset,1,,http://vocab.getty.edu/ulan/500032784,1893,1893,1979,1979,1,For John Constable,For John Constable,roseberys-a0785-lot6,roseberys-a0785-lot6
nonArtistNode,Georges Braque,amendment - please note this lot is unframed,1,0.9392,0.9392,356,1,unrelated,0,http://vocab.getty.edu/ulan/500025200,,1882,,1963,,0,Green Head [Vallier 58],Green Head [Vallier 58],roseberys-cw-Georges_Braque-Vallier-58-green_head_vallier_58,roseberys-cw-amendment_-_please_note_this_lot_is_unframed-Vallier-58-green_head_vallier_58
nonArtistNode,Amendment: 'Dancer' was produced exclusively for 2011 Q Awards in London and was not offered for general release. prints were presented to special guests of ceremony and owned by famous fellow artists and celebrities.,Stik,1,0.9384,0.9384,1,55,unrelated,0,,,,1979,,,0,Dancer,Dancer,forum-157127,roseberys-a0642-lot473
nonArtistNode,AMENDMENT: Please note this work is a lithograph. Sir John Kyffin Williams,Kyffin Williams,1,0.9303,0.9303,1,16,tokenSubset,1,,http://vocab.getty.edu/ulan/500017153,1918,1918,2006,2006,1,Pontlyfni in Snow,Pontllyfniin Snow,tate-P06617,roseberys-a0550-lot174
ulanConflict,Jacques Villon,Pablo Picasso,6,0.9657,0.9562,143,3055,unrelated,0,http://vocab.getty.edu/ulan/500003616,http://vocab.getty.edu/ulan/500009666,1875,1881,1963,1973,0,Les Saltimbanques (Ginestet and Pouillon E634),"Arlequin, enfant et chien",forum-163840,navigart18-AME_541
ulanConflict,Andy Warhol,Keith Haring,4,0.974,0.9661,1132,320,unrelated,0,http://vocab.getty.edu/ulan/500006031,http://vocab.getty.edu/ulan/500024253,1928,1958,1987,1990,0,20th Montreux Jazz Festival,Montreux Jazz Festival,bonhams-27493-132,roseberys-a0592-lot156
ulanConflict,Francesco Piranesi,Giovanni Battista Piranesi,3,0.9751,0.9422,45,1029,oneTokenDiffers,1,http://vocab.getty.edu/ulan/500018927,http://vocab.getty.edu/ulan/500114965,1758,1720,1810,1778,0,"Vue des Deux restes de ranges de Colonnes..., pl. XVI, from Différentes Vues de quelques Restes de trois Grands Edifices...de l'ancienne Ville de Pesto",Vue des deux rangées de colonnes du temple de Neptune,bonhams-cw-Francesco_Piranesi-W.-733-vue_des_deux_restes_de_ranges_de_colonnes_pl_xvi_from_diff_rentes_vues_de_quelques_restes_de_trois_grands_edifices_de_l_ancienne_ville_de_pesto,navigart24-2006.0.638
ulanConflict,Georges Braque,Henri Matisse,3,0.9575,0.9542,356,414,unrelated,0,http://vocab.getty.edu/ulan/500025200,http://vocab.getty.edu/ulan/500017300,1882,1869,1963,1954,0,"The Dancer, from the Schools Prints European Series",The Dancer,bonhams-22572-121,tate-P01713
ulanConflict,Francesco Clemente,Frank Stella,2,0.9733,0.9684,58,318,unrelated,0,http://vocab.getty.edu/ulan/500116236,http://vocab.getty.edu/ulan/500020533,1952,1936,,2024,0,"Turkish Mambo, from Black Series II (Axsom 20)",[no title],forum-156606,tate-P07837
ulanConflict,Jacques Villon,Raoul Dufy,2,0.9458,0.9391,143,499,unrelated,0,http://vocab.getty.edu/ulan/500003616,http://vocab.getty.edu/ulan/500024166,1875,1877,1963,1953,0,Fête Nautique à Marseilles,Fête Nautique (Ginestet & Pouillon E 649),bonhams-cw-Jacques_Villon-Ginestet-Pouillon-E649-f_te_nautique_marseilles,forum-85177
ulanConflict,Henri Matisse,Pierre-Auguste Renoir,2,0.9429,0.9404,414,342,unrelated,0,http://vocab.getty.edu/ulan/500017300,http://vocab.getty.edu/ulan/500115467,1869,1841,1954,1919,0,Nu au collier,La Danse à la Campagne - 2e Planche,bm-cw-Henri_Matisse-Duthuit_1983-87-nu_au_collier,bonhams-cw-Pierre-Auguste_Renoir-Delteil-2-la_danse_la_campagne_2e_planche
ulanConflict,Bill Jacklin,Yue Minjun,1,0.999,0.999,30,6,unrelated,0,http://vocab.getty.edu/ulan/500003353,http://vocab.getty.edu/ulan/500337513,1943,1962,,,0,You're so Manet,"First Light, 1974-5",roseberys-a0445-lot333,roseberys-a0467-lot106
ulanConflict,Sonia Delaunay,Victor Vasarely,1,0.9985,0.9985,257,378,unrelated,0,http://vocab.getty.edu/ulan/500115510,http://vocab.getty.edu/ulan/500030657,1885,1906,1979,1997,0,"Untitled (Geometric Shapes), 1950-1970s","Untitled (Geometric Shapes), 1950-1970s",bonhams-16093-3170,bonhams-16383-3139
ulanConflict,Martin Naylor,Wayne Thiebaud,1,0.9977,0.9977,3,132,unrelated,0,http://vocab.getty.edu/ulan/500005807,http://vocab.getty.edu/ulan/500010185,1944,1920,2016,2021,0,Untitled (chairs diptych),Bakery Case,roseberys-a0547-lot158,roseberys-a0662-lot307
ulanConflict,Lorenzo Quinn,Victor Pasmore,1,0.9939,0.9939,11,414,unrelated,0,http://vocab.getty.edu/ulan/500393036,http://vocab.getty.edu/ulan/500013220,1966,1908,,1998,0,Genome,Black Tiger,roseberys-a0529-lot342,roseberys-a0467-lot92
ulanConflict,John Levee,Richard Smith,1,0.9889,0.9889,4,140,unrelated,0,http://vocab.getty.edu/ulan/500017401,http://vocab.getty.edu/ulan/500018299,1924,1931,2017,2016,0,Double cercle,"Proscenium I, II, III, IV",navigart14-FNAC_31534,roseberys-a0469-lot230
ulanConflict,Erté (Romain de Tirtoff),John Levee,1,0.9889,0.9889,117,4,unrelated,0,http://vocab.getty.edu/ulan/500022996,http://vocab.getty.edu/ulan/500017401,1892,1924,1990,2017,0,Double cercle,"Earth, Water and Fire",navigart14-FNAC_31534,roseberys-a0368-lot207
ulanConflict,Erté (Romain de Tirtoff),Richard Smith,1,0.9889,0.9889,117,140,unrelated,0,http://vocab.getty.edu/ulan/500022996,http://vocab.getty.edu/ulan/500018299,1892,1931,1990,2016,0,"Earth, Water and Fire","Proscenium I, II, III, IV",roseberys-a0368-lot207,roseberys-a0469-lot230
ulanConflict,Jacques Villon,Paul Cézanne,1,0.9654,0.9654,143,35,unrelated,0,http://vocab.getty.edu/ulan/500003616,http://vocab.getty.edu/ulan/500004793,1875,1839,1963,1906,0,La Montagne Sainte-Victoire,La Montagne Sainte-Victoire,bonhams-cw-Jacques_Villon-Ginestet_&_Pouillon-639-la_montagne_sainte_victoire,bonhams-cw-Paul_Cézanne-G._&_P.-E639-la_montagne_sainte_victoire
ulanConflict,Claes Oldenburg,Robert Rauschenberg,1,0.956,0.956,160,440,unrelated,0,http://vocab.getty.edu/ulan/500029735,http://vocab.getty.edu/ulan/500002941,1929,1925,2022,2008,0,Watermark,Soft Drum Set,bonhams-13229-315,bonhams-cw-Claes_Oldenburg-G.-417-soft_drum_set
ulanConflict,Donald Hamilton Fraser,Nicolas de Staël,1,0.9549,0.9549,26,8,unrelated,0,http://vocab.getty.edu/ulan/500007520,http://vocab.getty.edu/ulan/500026376,1929,1914,2009,1955,0,Untitled,Méditerranée,bonhams-11438-228,forum-82691
ulanConflict,Eric Gill,Robert Gibbings,1,0.9383,0.9383,386,15,unrelated,0,http://vocab.getty.edu/ulan/500025465,http://vocab.getty.edu/ulan/500124282,1882,1889,1940,1958,0,Adam and Eve in Heaven,The Retreat from Serbia (Epsom frontispiece),bm-cw-Physick_1963-480,bonhams-21583-2
ulanConflict,Bridget Riley,Gene Davis,1,0.9374,0.9374,189,17,unrelated,0,http://vocab.getty.edu/ulan/500013384,http://vocab.getty.edu/ulan/500012653,1931,1920,,1985,0,"3 Battle for Grown Ups, from Series 2",Ra 2,bonhams-20980-7134,tate-P11563
ulanConflict,Jacques Villon,Paul Signac,1,0.9325,0.9325,143,9,unrelated,0,http://vocab.getty.edu/ulan/500003616,http://vocab.getty.edu/ulan/500008410,1875,1863,1963,1935,0,Le Port de la Rochelle,L'Entrée du Port de La Rochelle,bonhams-cw-Paul_Signac-G./P.-644-le_port_de_la_rochelle,forum-167245
